Pair,tau12,error tau12,r,error r
tau5->27,0.07308879414003244,0.4307037941389204,-0.07627775249629994,0.07575824864482227
tau5->28,0.05995524254306877,0.3873262923367179,0.09674118805314387,0.08763081826861736
tau5->29,0.430631442542235,1.0608315610491799,0.14985630538996278,0.07110622993211076
tau5->30,0.40088707146410724,1.7966359001276693,0.19395827946522487,0.1290673717649326
tau5->31,4.750753634821008,2.239240247106271,-0.19624044209273622,0.11846849481157033
tau5->32,0.22219269237457312,1.5206300220867848,0.07849617319097295,0.18158859476793704
tau5->33,0.08770219911441453,0.9403656571525731,-0.00671158974950403,0.08431869899851772
tau5->34,0.7609798512715454,2.431729010299382,-0.45704695532440154,0.06002387051609763
tau5->35,1.6891958913324958,2.1527812223905363,0.2994468819924295,0.07272852605280553
tau5->36,0.12886177170860577,0.48766506669629633,-0.033818695966497364,0.05954054235479551
tau6->1,0.015116741498969027,2.4898455249870204,-0.0010944971784326582,0.13458165838849317
tau6->2,0.7505202303139524,1.3955830537876872,-0.04131927031523319,0.0678044943201033
tau6->3,6.118262728965838,6.631464574639338,0.5215006121382378,0.08035996822587833
tau6->4,0.13072611498380768,1.2011012237501886,-0.043798874461121,0.08235811402611837
tau6->5,8.872994107183422,5.605502816130673,-0.49605362978908024,0.07339561131858502
tau6->6,3.5471409292678175,14.703786872577282,1.0,0.0
tau6->7,0.2918010326276063,3.1746302450138115,0.011000950616752433,0.13144103224718803
tau6->8,4.068469814132169,3.649449650612486,-0.24762093122645432,0.09261252407656868
tau6->9,7.202288169483228,5.373315180581146,0.2645749788455198,0.09302046394982691
tau6->10,0.5182089744525255,2.781795781841766,-0.11091739152917263,0.08915899906308007
tau6->11,1.0972145106590883,3.2963374949915667,-0.04658539482528905,0.1404628186974631
tau6->12,1.4116139377301675,3.89328759625811,0.23776349691190005,0.07281968897313668
tau6->13,4.985083034600114,4.212733170672709,0.33580544564351844,0.09978132978921861
tau6->14,0.6867410995350546,1.1835069940795568,0.14959868498832457,0.08251194642789234
tau6->15,1.8605701127685674,2.8532680446788015,-0.07717164411949351,0.11026046502422723
tau6->16,19.505764488872067,7.843540490780227,0.9756256949229768,0.005234657470367116
tau6->17,3.071742067140445,2.859153196202861,-0.21598375543765336,0.12166504515882169
tau6->18,2.729619981709657,4.99454912641134,-0.3273995916009355,0.09238574549001796
tau6->19,2.059195558309939,6.095741164769121,0.33696512795620126,0.08089071574653309
tau6->20,3.9357734336672126,5.9247207708868554,-0.34710497145023794,0.0779273545595423
tau6->21,1.0094943521568691,1.5822390271140798,-0.07282822796912368,0.0703965675387207
tau6->22,0.9789569815941428,1.89435558034573,0.13069988430335044,0.08833692803574462
tau6->23,2.8245437306360888,4.088085368182987,-0.34109037221271726,0.06825747978420413
tau6->24,1.8445557829265893,1.3424972238500361,0.1416469104351201,0.06793185682568002
tau6->25,0.4217418884342379,1.4292427280299649,-0.03232483034490309,0.10435331433287055
tau6->26,13.334593131504157,5.236017814619757,0.19097367809791382,0.12164638946790039
tau6->27,0.15759674258223386,0.9009843024385206,0.022633653761122818,0.10790243219494032
tau6->28,0.12577736753719815,0.8408530480164901,0.09199258314877415,0.10363891748020489
tau6->29,1.4002846412887324,4.397660712501113,-0.30300403863480774,0.09332181883584642
tau6->30,0.19838266793351517,1.7489397494472978,-0.08264046844996582,0.11527811614551084
tau6->31,0.35024615269463805,1.1974947887952798,0.03754322396290138,0.0749691168148209
tau6->32,13.414767598084165,4.679666860232809,0.30039959833996804,0.1204956289429733
tau6->33,3.3975410368485854,3.3475127907159448,-0.1694840764360545,0.08379126244411834
tau6->34,18.011457294843456,7.345186691495579,0.8410415192769536,0.024164537943357753
tau6->35,4.062750703651574,4.577111422033745,-0.3057715169728941,0.08318389952943589
tau6->36,0.0018738376835339308,2.4531561997794205,-0.20289594458629198,0.07453312489339743
tau7->1,1.7506504499485533,1.227418539388902,0.3380393734992034,0.08029354220406094
tau7->2,0.19772134418635096,0.4756636777085976,0.06146922520440271,0.09299217901380893
tau7->3,0.9997309323890262,1.0522245883916632,-0.10903999038878213,0.14443108516196132
tau7->4,0.39658668423534693,0.7161103823991571,-0.24286922575472475,0.1000250941121406
tau7->5,0.0007479800265671632,0.3657569136212809,0.029856214234293417,0.10848447664502073
tau7->6,0.07878493598501424,0.7714240028009717,0.011000950616752433,0.13144103224718803
tau7->7,16.48919032466667,5.758398400936933,1.0,0.0
tau7->8,1.057851532664806,0.863549740423537,0.13151174426351378,0.10720380027760429
tau7->9,0.1845430120006697,0.8262070008490071,-0.08333404859147706,0.13222018335537303
tau7->10,0.010025214666014042,0.7049823913266057,-0.025363638010060335,0.11210448443302055
tau7->11,2.8724983441097303,1.5802523730894493,0.3618624366590438,0.08001715759896236
tau7->12,0.12346427866387939,0.4096240070003212,0.06207560855256179,0.08765250755659486
tau7->13,0.44056454628689473,0.8862884965966779,-0.06003739648327199,0.141788975157046
tau7->14,0.12702777507454632,0.3472433637941875,-0.16536667410037723,0.10644279118246477
tau7->15,0.10409044814368336,0.6068447145037623,-0.033502435539945974,0.10605509192283871
tau7->16,0.032028388348134415,0.40083747159330185,-0.02616814021690556,0.13296766638211915
tau7->17,0.7701091793895146,2.7718188965106285,0.7939205154331149,0.03771759198074354
tau7->18,1.9885936495978638,1.5601698333462568,-0.14772187849278984,0.12010548964695843
tau7->19,0.04177945806136899,0.6927659243782122,-0.09664947481743873,0.1145040436114853
tau7->20,0.0067155255060600445,0.5192545804855676,-0.013573259957527006,0.09481322667056825
tau7->21,0.3510112625184161,0.42297438917244945,0.08525532109318956,0.08579601261298594
tau7->22,0.214373876189807,0.48494128451079244,-0.12886807594025723,0.09046096978768547
tau7->23,0.7656906722454699,0.5911209021233939,0.14777279442104735,0.08239181039946233
tau7->24,0.011512092224482559,0.15326376457298307,-0.021000613607990944,0.08128470110902446
tau7->25,0.20550244520558925,0.46210767833633043,-0.06190566353640629,0.1148406379646593
tau7->26,0.21104453160792666,0.6401622947970498,0.09934160727032612,0.1242105627783401
tau7->27,0.004903675748161188,0.2645759847294634,0.00277105911414824,0.11224621730171434
tau7->28,0.036817473827606105,0.20667132761579135,0.10106039982834993,0.1174287661418628
tau7->29,0.14854919421358398,0.4879262473231281,0.031113205656945662,0.1047810605615248
tau7->30,1.087647029310145,1.0660644114140516,0.2988465774492263,0.0782076696730882
tau7->31,0.03889180552319856,0.49293485400716613,-0.0969162500941839,0.10987796221400935
tau7->32,0.21407081373206532,0.5609979607322252,0.12367783975065987,0.10143193059620192
tau7->33,0.35471039986797454,0.7401797874053712,-0.1231941697855798,0.10191600714973237
tau7->34,0.009650838468246384,0.23705697870422215,-0.03833134976660813,0.10893691069154872
tau7->35,0.1319687041583814,0.6349997554044314,0.1347845928142624,0.08863018429816104
tau7->36,0.23950405679545175,0.4917970075880918,-0.07194825878280181,0.1075117054205501
tau8->1,0.9768752671595524,0.945571386651467,0.16835660328395266,0.10146355386956057
tau8->2,0.7556804277951712,0.7595476221456263,0.12680324892236322,0.1054407178375903
tau8->3,3.0632599641220155,1.8405821561569196,-0.4308574997469611,0.10431931193801719
tau8->4,0.06302289119432121,0.47439009169900176,0.020848129508713762,0.12666813158047857
tau8->5,0.04355728033963521,0.534358266210912,0.1300067786909608,0.07041644402987159
tau8->6,0.5629969317328206,0.9470461365355127,-0.24762093122645432,0.09261252407656868
tau8->7,0.6454726341720983,0.9346590368811507,0.13151174426351378,0.10720380027760429
tau8->8,22.348639863831128,5.250399175934974,1.0,0.0
tau8->9,0.014614804044646322,0.7757601963632283,-0.0880923541196277,0.11547371461366694
tau8->10,0.4418138165308666,1.2088253304732397,-0.11798820865974391,0.15495761250103202
tau8->11,1.6854842705085091,1.135710532489274,0.2127928876478003,0.09930959012585498
tau8->12,0.41070458643838,0.6416416774044653,0.09464480481398627,0.124394404078435
tau8->13,2.201477692533601,1.3342809071766757,-0.3373728825627716,0.1103850186946139
tau8->14,0.06530262739277876,0.2608528782159208,0.10501734431467859,0.10904972543615465
tau8->15,0.0055370607855939604,0.5717484768660093,0.07588594774370808,0.06514849315571339
tau8->16,0.4148840831259055,0.8115583193237736,-0.2973268509274465,0.09544544316473519
tau8->17,1.4171844499082562,1.831215180128605,0.521557190554665,0.09573277493491489
tau8->18,3.7245526319308704,3.5781433385019903,0.8043575994337676,0.04281928496552722
tau8->19,0.3179266723270434,0.9906800050094473,-0.1822239613955115,0.121112363223717
tau8->20,0.3492464551724038,1.0353092527452168,0.08139681177565662,0.12038393205199067
tau8->21,0.15335017757308814,0.44510978818027996,0.056995821064337544,0.09082879242754432
tau8->22,0.7680583793030195,0.7446705623501407,-0.14334772559853623,0.08218925894374023
tau8->23,0.6723551634212759,0.9012364297201882,0.2720684515966926,0.08129044538042268
tau8->24,0.14990172328772103,0.34178920572859134,-0.11738782417823815,0.08908437446473556
tau8->25,1.1803869698257428,1.2644143494698366,0.4728123781408383,0.08892574333603083
tau8->26,1.291828701569879,1.6335071351392396,-0.503239000282124,0.08806052743832588
tau8->27,2.14334067091691,1.1861067448882376,0.4534791420357297,0.09708207110156235
tau8->28,0.10211988449794812,0.8988345262290501,-0.49462494006834085,0.08643015757441555
tau8->29,0.1499819221262298,0.9124044067243589,-0.2576443140927544,0.08865715642841836
tau8->30,0.17287379832029628,0.7544346339049575,0.2621166455017555,0.10796592318817912
tau8->31,0.4062775758734616,0.6308804845304032,0.12997399943010043,0.0932726515786055
tau8->32,0.7082750888461185,1.0292695911654002,-0.2554790181357516,0.07166783436279495
tau8->33,0.2044224164954658,0.6046511478282715,-0.08221965916037982,0.0968329176331671
tau8->34,0.12790246975688024,0.7534552215288629,-0.30974420828380306,0.09332481641800586
tau8->35,0.45193103990301425,0.8160125634468118,-0.14099779810256763,0.110097632752532
tau8->36,0.012497673022018256,0.2886696006002543,0.020036305502441804,0.11037340595903161
tau9->1,0.11152408667798265,0.5263659090152623,0.03410723687551964,0.09392472446861118
tau9->2,0.02649403088369406,0.3811521897606681,-0.01636097912192358,0.10556986415083834
tau9->3,0.1965534621761319,0.9180960455874818,-0.017780359102121463,0.11717475347608865
tau9->4,0.6080801867567083,0.7454908263353875,-0.2434594937786693,0.09609806131137419
tau9->5,0.10559419429009474,0.3442541321420792,-0.03802699691881837,0.07682099220781534
tau9->6,1.1317386252641661,1.0515247825210967,0.2645749788455198,0.09302046394982691
tau9->7,0.268137754405213,0.8271125979304235,-0.08333404859147706,0.13222018335537303
tau9->8,0.4277073667253786,0.6529424487344992,-0.0880923541196277,0.11547371461366694
tau9->9,30.070857117577773,6.041496982582401,1.0,0.0
tau9->10,0.35610662041950325,0.8679112468960215,-0.041637802957937856,0.11936199736836806
tau9->11,0.01751610285797226,0.5515285380610325,0.004895046869500644,0.10254797866765976
tau9->12,0.05038951754122162,0.4758957975342442,0.014964225402147258,0.09508722502787727
tau9->13,0.6386548531587589,0.7035217971176249,-0.11082607768541543,0.11533142779169042
tau9->14,0.15180421630654373,0.38470806630133675,-0.21477438394089576,0.0987946822493448
tau9->15,0.6772416655569432,0.7922275559463361,0.10205053603930976,0.08517704438118492
tau9->16,0.14357349039729234,0.7406191515673652,0.277480188966627,0.0979615243459423
tau9->17,0.11141889428441136,0.6442609655132248,-0.17541548431973308,0.13622591988826135
tau9->18,0.5489325425981563,0.8268801158272442,-0.05963217766255634,0.11304614005028352
tau9->19,1.6814866550096719,3.6431238234771772,0.7593657070964144,0.04951598469772255
tau9->20,2.146652427536017,1.5251423103237036,-0.3485848731425617,0.08814770105474246
tau9->21,0.11271286109576477,0.6943759921378768,0.01227724733847382,0.10243620247563802
tau9->22,0.13597810467946886,0.5866934503310522,0.10694873549270284,0.10550358915013006
tau9->23,1.2189771448712015,0.9301976053621552,-0.12851244765788353,0.1090500889062513
tau9->24,0.02801427386982325,0.24867048001333159,0.08408197303986374,0.09412040745565635
tau9->25,0.503383401939298,0.6250355321520933,-0.08594585964390246,0.12235434248326586
tau9->26,0.05818802703984295,0.508054624146889,0.015001524182360594,0.11519144765670172
tau9->27,0.2673288583394,0.49622774509211554,-0.04568782659474459,0.12150472466167313
tau9->28,0.0231831975499576,0.17914414192780823,0.04531035419672458,0.11119842497469103
tau9->29,0.004903477160810552,0.424367731274558,0.002881886840957835,0.11891005376644223
tau9->30,0.36787202539333397,0.5866968991985665,0.07596298892575362,0.10292974423050638
tau9->31,0.13357048947430672,0.638488533194546,-0.16269690951411717,0.09186760402468054
tau9->32,0.08227536085312163,0.5103065838426868,-0.10676122079864672,0.06791401642348129
tau9->33,0.06790907579531105,1.2055018387329444,-0.26436096756786814,0.09370825556194089
tau9->34,0.44322884027389986,0.7574340864046589,0.32347580360599526,0.09969842521781823
tau9->35,0.5410410045236905,0.8058867502768209,-0.13408250496511842,0.10287890515668754
tau9->36,0.03757946256221748,0.526971277134628,-0.15806820980810316,0.11062862644890428
tau10->1,0.642816700000997,0.701094899957648,-0.13297183414448419,0.0887709157187341
tau10->2,0.6711555907684909,0.8198745462020146,-0.16956369081067557,0.11385365745377238
tau10->3,0.7010514511714153,0.9369194426460182,0.23735090432270006,0.09866103854421579
tau10->4,0.596971178688973,0.7292527179591132,0.1717317064800136,0.12938529993780015
tau10->5,0.010658220285822983,0.2616272197962656,-0.00510534853245486,0.07552352934057074
tau10->6,0.460268317867571,0.5888506923104779,-0.11091739152917263,0.08915899906308007
tau10->7,0.050281117233547126,0.631357992264713,-0.025363638010060335,0.11210448443302055
tau10->8,0.017560739200324752,0.6791591884034558,-0.11798820865974391,0.15495761250103202
tau10->9,0.33551240749437977,0.8635447328227707,-0.041637802957937856,0.11936199736836806
