# time X1 X2
1.309232730818270625e+02 1.487606767043652689e-01 2.874546786582196298e-02
1.309332733318333055e+02 1.519300255240848274e-01 3.239469929582820817e-02
1.309432735818395486e+02 1.392057675761149693e-01 2.602306187591775510e-02
1.309532738318458200e+02 1.502986629047641243e-01 3.074666340420516286e-02
1.309632740818520631e+02 1.553205999968497730e-01 1.695888605608329019e-02
1.309732743318583061e+02 1.694360285459695081e-01 1.940333955284469225e-02
1.309832745818645492e+02 1.610464655860930350e-01 2.948251576937026275e-02
1.309932748318708207e+02 1.605746714338405490e-01 2.972719483550579841e-02
1.310032750818770637e+02 1.595111182436216024e-01 3.118732054011075228e-02
1.310132753318833068e+02 1.607108286073861692e-01 3.931853269833768261e-02
1.310232755818895498e+02 1.447541654990323889e-01 3.448430674609030688e-02
1.310332758318958213e+02 1.445874091646947301e-01 4.035981101163670787e-02
1.310432760819020643e+02 1.290786950138685107e-01 3.965060687370091513e-02
1.310532763319083074e+02 1.315695018100675462e-01 3.017319053640788590e-02
1.310632765819145504e+02 1.091181814994637012e-01 3.889458219172164943e-02
1.310732768319208219e+02 8.970560425252180337e-02 5.251488663963704839e-02
1.310832770819270650e+02 9.725660980759474883e-02 6.357495724775251433e-02
1.310932773319333080e+02 9.113353394380974137e-02 7.196176316393566863e-02
1.311032775819395511e+02 8.070342668386890073e-02 7.634861744558672780e-02
1.311132778319458225e+02 9.298659171501363896e-02 7.921459805307733137e-02
1.311232780819520656e+02 9.572906096141303722e-02 7.748425211871792784e-02
1.311332783319583086e+02 1.038800935677303416e-01 7.008319017363881520e-02
1.311432785819645517e+02 1.015292878597129217e-01 4.872341136939480760e-02
1.311532788319708231e+02 1.275538989769627873e-01 3.256260000909259877e-02
1.311632790819770662e+02 1.203960343816406625e-01 3.238274922840966852e-02
1.311732793319833092e+02 1.367989432775651992e-01 1.929499178017835687e-02
1.311832795819895523e+02 1.349137684026913142e-01 2.324296675450054570e-02
1.311932798319958238e+02 1.171357416033094317e-01 4.048442246241631959e-02
1.312032800820020668e+02 1.209952937570695081e-01 7.826516347853786082e-03
1.312132803320083099e+02 1.229720990157897181e-01 -1.976702305448417747e-03
1.312232805820145529e+02 1.112192763717122779e-01 1.990185080616349578e-02
1.312332808320208244e+02 1.009844000906788275e-01 2.804508181013727619e-02
1.312432810820270674e+02 9.986780506797279799e-02 2.664797398676957765e-02
1.312532813320333105e+02 1.024998450397067301e-01 2.106259730137133301e-02
1.312632815820395535e+02 7.687352674702251087e-02 2.671011515524574984e-02
1.312732818320458250e+02 8.676955658056655085e-02 3.623506296371548779e-02
1.312832820820520681e+02 8.113805659142968307e-02 2.317883774951058282e-02
1.312932823320583111e+02 6.712509537028117645e-02 3.786499629526920985e-02
1.313032825820645542e+02 7.605383491257403095e-02 4.147097230767148729e-02
1.313132828320708256e+02 7.526447163080207670e-02 5.043768864201867569e-02
1.313232830820770687e+02 8.692567312552669512e-02 6.017328850108633748e-02
1.313332833320833117e+02 9.073680546657442170e-02 6.269426439817289698e-02
1.313432835820895548e+02 9.012776370441909213e-02 6.652163061491757345e-02
1.313532838320958263e+02 8.803179477064791703e-02 7.103390252587724052e-02
1.313632840821020693e+02 9.233377394113220782e-02 6.675255551286243816e-02
1.313732843321083124e+02 8.760888639119189525e-02 7.256967452948509534e-02
1.313832845821145554e+02 7.856992001246240753e-02 6.924838394314908330e-02
1.313932848321208269e+02 8.422955395859996197e-02 6.856247867093930026e-02
1.314032850821270699e+02 8.228519239792436712e-02 8.351596048771067760e-02
1.314132853321333130e+02 8.221559675707373893e-02 8.232042266197624192e-02
1.314232855821395560e+02 9.269884126435896932e-02 8.563229893749682575e-02
1.314332858321458275e+02 9.106124826904545000e-02 8.302822774935579575e-02
1.314432860821520705e+02 9.071611618051968196e-02 7.853967970852480940e-02
1.314532863321583136e+02 8.420515830274778735e-02 9.704140339292396944e-02
1.314632865821645566e+02 8.815571307650343913e-02 8.142680689593427557e-02
1.314732868321708281e+02 9.117956910701896511e-02 8.113357603929521877e-02
1.314832870821770712e+02 9.968119261405083975e-02 6.830405344213107133e-02
1.314932873321833142e+02 9.323461258505222338e-02 8.016494271270650784e-02
1.315032875821895573e+02 8.812492147686337707e-02 7.874749564003238889e-02
1.315132878321958287e+02 9.555878373174959972e-02 7.327189097903862025e-02
1.315232880822020718e+02 9.749168538295593933e-02 5.418905558804475164e-02
1.315332883322083148e+02 8.772553254513966448e-02 6.940995361815768816e-02
1.315432885822145579e+02 1.002608676651240704e-01 5.543780195283137813e-02
1.315532888322208294e+02 8.255094231423448781e-02 5.975100790486367885e-02
1.315632890822270724e+02 8.986703546325397474e-02 6.847128400067091503e-02
1.315732893322333155e+02 7.665860116864282869e-02 8.952554395694629907e-02
1.315832895822395585e+02 9.519752804159641035e-02 8.311769610362611249e-02
1.315932898322458300e+02 7.921514397264234342e-02 7.373168333657910412e-02
1.316032900822520730e+02 9.031415746832630043e-02 6.872161280880513534e-02
1.316132903322583161e+02 8.893828035757461725e-02 6.215098597333301722e-02
1.316232905822645591e+02 8.469362678547810719e-02 4.269329572826136010e-02
1.316332908322708306e+02 8.591412356094224601e-02 5.862088012062862535e-02
1.316432910822770737e+02 9.166709011751410230e-02 5.385416831959166650e-02
1.316532913322833167e+02 8.197568503462822342e-02 5.171888171462218908e-02
1.316632915822895598e+02 7.325664534116932414e-02 5.747626503981962537e-02
1.316732918322958312e+02 7.930750886408559353e-02 7.076246056871891843e-02
1.316832920823020743e+02 6.179481654179233563e-02 5.844916923736920983e-02
1.316932923323083173e+02 5.562682329064040643e-02 6.144086892198535182e-02
1.317032925823145604e+02 8.578462894393834581e-02 4.866861524655809179e-02
1.317132928323208318e+02 7.548999608483894508e-02 5.151841254956399108e-02
